GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize
45543,PUBG Mobile Global Championship S0 - Finals,01/24/21,01/26/21,Dubai,United Arab Emirates,1,1200000.00
40676,King Pro League Fall 2019,09/06/19,12/14/19,Chengdu/Wuhan,China,1,1159511.98
35825,CWL Pro League 2019,02/04/19,07/05/19,Columbus,United States,1,1150000.00
45308,King Pro League Spring 2020,03/18/20,06/13/20,Shanghai,China,1,1128880.04
20812,ELEAGUE Season 2,10/21/16,12/03/16,Atlanta,United States,1,1100000.00
37989,TwitchCon 2019 - Fortnite - Finals,09/27/19,09/27/19,San Diego,United States,1,1002000.00
26779,2017 Las Vegas eRace,01/06/17,01/07/17,Las Vegas,United States,0,1000000.00
38758,Auto Chess Invitational 2019,10/25/19,10/27/19,Shanghai,China,0,1000000.00
45428,BLAST Premier: Global Final 2020,01/19/21,01/24/21,N/A,Online,1,1000000.00
20476,BlizzCon 2016 (Hearthstone),10/26/16,11/05/16,Burbank/Anaheim,United States,0,1000000.00
2917,Call of Duty Championship 2013,04/05/13,04/07/13,Los Angeles,United States,1,1000000.00
5079,Call of Duty Championship 2014,03/28/14,03/30/14,Los Angeles,United States,1,1000000.00
9797,Call of Duty Championship 2015,03/27/15,03/29/15,Los Angeles,United States,1,1000000.00
3021,Call of Duty XP,09/02/11,09/03/11,Los Angeles,United States,1,1000000.00
27342,DAC 2018,03/29/18,04/07/18,Shanghai,China,1,1000000.00
40180,DreamLeague S13,01/18/20,01/26/20,Leipzig,Germany,1,1000000.00
33450,DreamLeague Season 11,03/14/19,03/24/19,Stockholm,Sweden,1,1000000.00
25162,ELEAGUE CS:GO Premier 2017,09/08/17,10/13/17,Atlanta,United States,1,1000000.00
28793,ELEAGUE CS:GO Premier 2018,07/21/18,07/29/18,Atlanta,United States,1,1000000.00
21965,ELEAGUE Major 2017,01/22/17,01/29/17,Atlanta,United States,1,1000000.00
26793,ELEAGUE Major: Boston 2018,01/12/18,01/28/18,Boston,United States,1,1000000.00
35598,EPICENTER Major 2019,06/22/19,06/30/19,Moscow,Russia,1,1000000.00
27669,EPICENTER XL,04/27/18,05/06/18,Moscow,Russia,1,1000000.00
27916,ESL One Birmingham 2018,05/23/18,05/27/18,Birmingham,United Kingdom,1,1000000.00
25324,ESL One Hamburg 2017,10/26/17,10/29/17,Hamburg,Germany,1,1000000.00
26947,ESL One Katowice 2018 (Dota 2),02/20/18,02/25/18,Katowice,Poland,1,1000000.00
18983,ESL One: Cologne 2016,07/05/16,07/10/16,Cologne,Germany,1,1000000.00
29707,FACEIT Major: London 2018,09/05/18,09/23/18,London,UK,1,1000000.00
41154,FLASHPOINT Season 1,03/13/20,04/19/20,Los Angeles,United States,1,1000000.00
44455,Flashpoint Season 2,11/10/20,12/06/20,Online,,1,1000000.00
22592,Halo World Championship 2017,03/24/17,03/26/17,Burbank,United States,1,1000000.00
27496,Halo World Championship 2018,04/13/18,04/15/18,Seattle,United States,1,1000000.00
26639,Hearthstone World Championship 2017,01/18/18,01/21/18,Amsterdam,Netherlands,0,1000000.00
34071,Hearthstone World Championship 2019,04/25/19,04/28/19,Taipei,Taiwan,0,1000000.00
20484,HGC 2016 - Fall Finals,10/26/16,11/05/16,Burbank/Anaheim,United States,1,1000000.00
25381,HGC 2017 Global Finals,10/26/17,11/04/17,Anaheim,United States,1,1000000.00
30424,HGC 2018 Global Finals,10/25/18,11/03/18,Anaheim,United States,1,1000000.00
32952,Honor of Kings Champion Cup Summer 2018,08/01/18,08/11/18,Beijing,China,1,1000000.00
45696,IEM Season XV - World Championship,02/16/21,02/28/21,N/A,Online,1,1000000.00
33253,IEM XIII - Katowice 2019 (CS:GO Major),02/13/19,03/03/19,Katowice,Poland,1,1000000.00
30869,Intel Grand Slam Season 1,07/04/17,12/09/18,N/A,World,1,1000000.00
35835,Intel Grand Slam Season 2,02/14/19,07/07/19,Cologne,Germany,1,1000000.00
40444,Magic World Championship XXVI,02/14/20,02/01/20,Honolulu,United States,0,1000000.00
27822,MDL Changsha Major 2018,05/14/18,05/20/18,Changsha,China,1,1000000.00
39241,MDL Chengdu Major 2019,11/16/19,11/24/19,Chengdu,China,1,1000000.00
34448,MDL Disneyland Paris Major 2019,05/04/19,05/12/19,Paris,France,1,1000000.00
17693,MLG Major Championship: Columbus 2016,03/29/16,04/03/16,Colombus,United States,1,1000000.00
33597,Mythic Invitational 2019,03/28/19,03/31/19,Boston,United States,0,1000000.00
23980,PGL Major Kraków 2017,07/16/17,07/23/17,Kraków,Poland,1,1000000.00
28789,PUBG Global Invitational 2018 (FPP),07/28/18,07/29/18,Berlin,Germany,1,1000000.00
28744,PUBG Global Invitational 2018 (TPP),07/25/18,07/26/18,Berlin,Germany,1,1000000.00
25897,ROG DreamLeague Season 8,12/01/17,12/03/17,N/A,Sweden,1,1000000.00
16337,Smite World Championship 2016,01/07/16,01/01/16,Atlanta,United States,1,1000000.00
21518,Smite World Championship 2017,01/05/17,01/08/17,Atlanta,United States,1,1000000.00
37654,StarLadder Berlin Major 2019,08/23/19,09/08/19,Berlin,Germany,1,1000000.00
27094,The Bucharest Major 2018,03/04/18,03/11/18,Bucharest ,Romania,1,1000000.00
33006,The Chongqing Major 2019,01/19/19,01/27/19,Chongqing,China,1,1000000.00
30632,The Kuala Lumpur Major 2018,11/09/18,11/18/18,Kuala Lumpur,Malaysia,1,1000000.00
41945,Fortnite Champion Series - Chapter 2 - Season 1 - Gbrand Finals: Europe,12/08/19,12/08/19,N/A,Online,1,919200.00
30895,CrossFire Stars 2018,12/04/18,12/09/18,Nankin,China,1,900000.00
33365,WESG 2018 (CS:GO Male),03/11/19,03/17/19,Chongqing,China,1,890000.00
33303,WESG 2018 (Dota 2),03/07/19,03/10/19,Chongqing,China,1,890000.00
25917,Crossfire Stars 2017 Grand Final,12/01/17,12/03/17,Xi'an,China,1,850000.00
42498,The Nexus Arabia 2019 Main Event,12/05/19,12/07/19,N/A,Saudi Arabia,1,850000.00
40355,CrossFire Stars 2019,12/07/19,12/14/19,Taicang,China,1,820000.00
35454,Fortnite World Cup 2019 - Week 10 - Europe,06/20/19,06/21/19,N/A,Online,1,800000.00
35228,Fortnite World Cup 2019 - Week 9 - Europe,06/08/19,06/09/19,N/A,Online,0,800000.00
26478,Smite World Championship 2018,01/03/18,01/07/18,Atlanta,United States,1,785000.00
18847,Esports Championship Series Season 1 - Finals,06/24/16,06/26/16,London,United Kingdom,1,765000.00
45325,PUBG Mobile Global Championship Season 0 - League Stage,11/24/20,12/20/20,N/A,United Arab Emirates/Maldives/Online,1,764000.00
37942,Fortnite Champion Series - Season X - NAE - Finals,09/20/19,09/22/19,N/A,Online,1,756000.00
23495,ESL Pro League S5 Finals,05/30/17,06/04/17,Dallas,United States,1,750000.00
46189,ESL Pro League Season 13,03/08/21,04/11/21,N/A,Online,1,750000.00
26072,ESL Pro League Season 6 Finals,12/05/17,12/10/17,Odense,Denmark,1,750000.00
27867,ESL Pro League Season 7 - Finals,05/15/18,05/20/18,Dallas,United States,1,750000.00
30868,ESL Pro League Season 8 - Finals,12/04/18,12/09/18,Odense,Denmark,1,750000.00
44638,F1 Esports Pro Series 2020,10/14/20,12/17/20,N/A,Online,1,750000.00
35466,Mythic Championship III 2019,06/21/19,06/23/19,Las Vegas,United States,0,750000.00
40611,Mythic Championship VII 2019,12/06/19,12/08/19,Long Beach,United States,0,750000.00
44383,Clash of Clans World Championship 2020,11/27/20,11/29/20,N/A,Online,1,730000.00
30358,Fortnite Fall Skirmish Series - Week 6 - Stream-Vitbational,10/28/18,10/28/18,San José,United States,0,730000.00
38867,Clash of Clans World Championship 2019,10/25/19,10/27/19,Hamburg,Germany,1,700000.00
23387,CWL Global Pro League 2017 - Stage 1,04/21/17,05/28/17,Columbus,United States,1,700000.00
24043,CWL Global Pro League 2017 - Stage 2,06/30/17,07/30/17,Columbus,United States,1,700000.00
27380,CWL Pro League 2018 - Stage 1,01/23/18,04/09/18,Columbus,United States,1,700000.00
28807,CWL Pro League 2018 - Stage 2,05/15/18,07/29/18,Columbus,United States,1,700000.00
21485,Dota2 Professional League Season 2 - Top,09/02/16,12/31/16,N/A,Online,1,700000.00
25380,WCS 2017 Global Finals,10/27/17,11/04/17,Anaheim,United States,0,700000.00
30417,WCS 2018 Global Finals,10/26/18,11/03/18,Anaheim,United States,0,700000.00
38849,WCS 2019 Global Finals,10/24/19,11/01/19,Anaheim,United States,0,700000.00
45965,FNCS Chapter 2 Season 5 NA East Grand Finals,03/13/21,03/14/21,N/A,Online,0,691800.00
15987,World Cyber Arena 2015 (Dota 2),12/17/15,12/20/15,Yinchuan,China,1,677284.40
20896,Esports Championship Series Season 2 - Finals,12/09/16,12/11/16,Anaheim,United States,1,660000.00
23741,Esports Championship Series Season 3 - Finals,06/23/17,06/25/17,London,United Kingdom,1,660000.00
26155,Esports Championship Series Season 4 - Finals,12/14/17,12/17/17,Cancun,Mexico,1,660000.00
28153,Esports Championship Series Season 5 - Finals,06/08/18,06/10/18,London,United Kingdom,1,660000.00
30727,Esports Championship Series Season 6 - Finals,11/22/18,11/25/18,N/A,Online,1,660000.00
24392,Quake World Championship 2017: Sacrifice Tournament,08/24/17,08/26/17,Dallas,United States,1,660000.00
43695,Overwatch League 2020 - Playoffs - North America,09/03/20,09/13/20,N/A,Online,1,625000.00
44179,FNCS : C2S4 Grand Finals EU,10/31/20,11/01/20,N/A,Europe,1,622000.00
27207,V4 Future Sports Festival 2018 (CS:GO),03/23/18,03/25/18,Budapest,Hungary,1,617870.00
22716,DAC 2017,03/27/17,04/04/17,Shanghai,China,1,611987.00
43123,LPL Summer 2020,06/05/20,08/27/20,N/A,China,1,609364.90
39551,ESL Pro League Season 10: Finals,12/03/19,12/08/19,Odense ,Denmark,1,600000.00
35465,ESL Pro League Season 9: Finals,06/18/19,06/23/19,Montpellier,France,1,600000.00
41936,FNCS Invitational - Grand Finals: Europe,05/02/20,05/24/20,N/A,Online,0,600000.00
35445,Fortnite World Cup 2019 - Week 10 - NA East,06/20/19,06/21/19,N/A,Online,1,600000.00
35227,Fortnite World Cup 2019 - Week 9 - NA East,06/08/19,06/09/19,N/A,Online,0,600000.00
41874,Mid-Season Cup 2020,05/28/20,05/31/20,N/A,Online,1,600000.00
33218,NBA 2K League 2018 Playoffs,08/17/18,08/25/18,New York City,United States,1,600000.00
45307,Smite World Championship 2021,01/08/21,01/01/21,N/A,Online,1,600000.00
20993,World Cyber Arena 2016 (Dota 2),12/14/16,12/16/16,Yinchuan,China,1,596226.10
32951,AoV International Championship 2018,11/23/18,12/16/18,Bangkok/Ho Chi Minh City,Thailand/Vietnam,1,590000.00
20372,ESL Pro League Season 4: Finals,10/26/16,10/30/16,São Paulo,Brazil,1,580000.00
41966,Fortnite Champion Series - Chapter 2 - Season 1 - Gbrand Finals: NA East,12/08/19,12/08/19,N/A,Online,1,574500.00
27579,LPL Spring 2018,01/15/18,04/28/18,N/A,China,1,552695.50
18248,LPL Spring 2016,01/14/16,04/23/16,N/A,China,1,540291.50
28720,Fortnite Summer Skirmish Series - Week 2 EU,07/21/18,07/21/18,N/A,Online,0,540000.00
29618,LPL Summer 2018,06/11/18,09/14/18,N/A,China,1,539595.00
41052,ESL Pro League Season 11: Europe,03/16/20,04/12/20,N/A,Online,1,531000.00
45541,Honor of Kings Champion Cup Winter 2020,01/07/21,01/23/21,Zhengzhou / Shenzhen,China,1,530400.00
28717,Fortnite Summer Skirmish Series - Week 2 NA,07/20/18,07/20/18,N/A,Online,0,530000.00
35480,RLCS Season 7 - Finals,06/21/19,06/23/19,Newark,United States,1,529500.00
39685,RLCS Season 8 - Finals,12/13/19,12/15/19,Madrid,Spain,1,529500.00
19389,LPL Summer 2016,05/26/16,08/26/16,N/A,China,1,526799.00
24433,LPL Summer 2017,06/08/17,09/01/17,N/A,China,1,525353.50
42095,Fortnite Champion Series - Chapter 2 - Season 2 - Gbrand Finals: Europe,04/19/20,04/19/20,N/A,Online,1,524000.00
27039,IEM XII - World Championship (CS:GO),02/27/18,03/04/18,Katowice ,Poland,1,524000.00
33931,LPL Spring 2019,01/14/19,04/21/19,N/A,China,1,520100.00
40668,Honor of Kings Champion Cup Winter 2019,12/21/19,01/04/20,Macau/Guangzhou,China,1,518760.00
18500,ESL Pro League S3 Finals,05/11/16,05/15/16,Leicester,United Kingdom,1,513130.00
1999,CPL World Tour Finals 2005,11/20/05,11/22/05,New York City,United States,0,510000.00
